x,y,z,confidence,hand,gesture
-0.052053779,0.030248495,0.030248495,0.994675815,Right,thumb_up
-0.051200006,0.030478869,0.030478869,0.994478583,Right,thumb_up
-0.052960556,0.030751701,0.030751701,0.994343221,Right,thumb_up
-0.051509246,0.029949062,0.029949062,0.994862497,Right,thumb_up
-0.051364034,0.030095153,0.030095153,0.994189084,Right,thumb_up
-0.051367287,0.030220002,0.030220002,0.994776607,Right,thumb_up
-0.05116719,0.029368572,0.029368572,0.995860279,Right,thumb_up
-0.050976694,0.029488694,0.029488694,0.994592071,Right,thumb_up
-0.051952634,0.03013571,0.03013571,0.993670106,Right,thumb_up
-0.051224537,0.03015298,0.03015298,0.99436897,Right,thumb_up
-0.052805685,0.029999528,0.029999528,0.994475186,Right,thumb_up
-0.049960691,0.029168941,0.029168941,0.994640827,Right,thumb_up
-0.051723681,0.030616991,0.030616991,0.994706869,Right,thumb_up
-0.050494555,0.030344713,0.030344713,0.995830357,Right,thumb_up
-0.050527848,0.029204052,0.029204052,0.994686246,Right,thumb_up
-0.052274849,0.02922333,0.02922333,0.992882669,Right,thumb_up
-0.050675955,0.028645499,0.028645499,0.994960248,Right,thumb_up
-0.050981414,0.030375324,0.030375324,0.994252682,Right,thumb_up
-0.049614333,0.028964227,0.028964227,0.995436907,Right,thumb_up
-0.050615873,0.030788328,0.030788328,0.994721234,Right,thumb_up
-0.051781848,0.030705735,0.030705735,0.995958269,Right,thumb_up
-0.049492501,0.030396841,0.030396841,0.9966923,Right,thumb_up
-0.050266493,0.030757941,0.030757941,0.996973097,Right,thumb_up
-0.051703654,0.029692249,0.029692249,0.99628818,Right,thumb_up
-0.051000789,0.029771034,0.029771034,0.995681167,Right,thumb_up
-0.049904119,0.030689582,0.030689582,0.995930612,Right,thumb_up
-0.049605459,0.030092174,0.030092174,0.997310758,Right,thumb_up
-0.047846522,0.02998003,0.02998003,0.996871352,Right,thumb_up
-0.047161549,0.03002798,0.03002798,0.996915817,Right,thumb_up
-0.047993325,0.031802747,0.031802747,0.997030556,Right,thumb_up
-0.046631012,0.031625852,0.031625852,0.996079743,Right,thumb_up
-0.045964327,0.03343771,0.03343771,0.997038901,Right,thumb_up
-0.045259275,0.033943091,0.033943091,0.996439338,Right,thumb_up
-0.043235321,0.033473186,0.033473186,0.996270061,Right,thumb_up
